dimension,h0,endpoint_multiplier,endpoint,method,acceptance,acceptance_se,esjd_per_coordinate,esjd_se
200,0.282842712474619,0.05,0.01414213562373095,Fixed step,0.9935274811724514,4.323863837932063e-05,0.028226899738866402,1.2819987066737145e-05
200,0.282842712474619,0.05,0.01414213562373095,Randomized step,0.9974091400193681,2.3476527107932403e-05,0.014052520970664723,3.8003213158655225e-05
200,0.282842712474619,0.0627705862675592,0.017754202883538517,Fixed step,0.9909216020084811,6.022346740503806e-05,0.035367323779030686,1.6097807641296667e-05
200,0.282842712474619,0.0627705862675592,0.017754202883538517,Randomized step,0.9963343114874769,3.325929840727759e-05,0.01774722073578627,4.751121816982775e-05
200,0.282842712474619,0.07880293000746184,0.022288834474258057,Fixed step,0.987293426568272,8.460798035958014e-05,0.04427203388913202,2.035607016692743e-05
200,0.282842712474619,0.07880293000746184,0.022288834474258057,Randomized step,0.9948350432238141,4.621513447252338e-05,0.02231366905280795,5.938991431149859e-05
200,0.282842712474619,0.09893012232339628,0.02798166414339526,Fixed step,0.9820984992890819,0.00011781366720841371,0.05540987355840494,2.552847196284759e-05
200,0.282842712474619,0.09893012232339628,0.02798166414339526,Randomized step,0.9927838068460347,6.404286822094832e-05,0.027938572050797583,7.425534300545066e-05
200,0.282842712474619,0.12419803555521869,0.03512850926045723,Fixed step,0.9750436466643359,0.0001616542142010899,0.06916757682503269,3.281217039763655e-05
200,0.282842712474619,0.12419803555521869,0.03512850926045723,Randomized step,0.9899308014594016,8.916784106832078e-05,0.034817027514291846,9.314429168774831e-05
200,0.282842712474619,0.15591967010160482,0.04410074241968566,Fixed step,0.9651454252508067,0.00022402570405707865,0.08618267833993445,4.2873025262112986e-05
200,0.282842712474619,0.15591967010160482,0.04410074241968566,Randomized step,0.9859123397944939,0.00012435240333435413,0.043580026047511086,0.00011600937016076033
200,0.282842712474619,0.19574338205844316,0.05536458913036574,Fixed step,0.9513043683424626,0.00030597399553460925,0.10706133295758302,5.7737204370892124e-05
200,0.282842712474619,0.19574338205844316,0.05536458913036574,Randomized step,0.9804832534683724,0.00016940334401927088,0.054268974771211495,0.0001452646242887609
200,0.282842712474619,0.2457385369960662,0.06950535436351188,Fixed step,0.9322481768652643,0.0004130094816939081,0.132174555181179,8.105578525971064e-05
200,0.282842712474619,0.2457385369960662,0.06950535436351188,Randomized step,0.9726306735714191,0.0002333447342862001,0.06758506367516705,0.00017967342556289852
200,0.282842712474619,0.30850304071550727,0.0872578368426419,Fixed step,0.9076012757750008,0.0005479475237718768,0.16236325167340013,0.0001199834249742227
200,0.282842712474619,0.30850304071550727,0.0872578368426419,Randomized step,0.9622210168949553,0.0003162315165815412,0.08408594257608706,0.00022247739930436773
200,0.282842712474619,0.38729833462074165,0.10954451150103321,Fixed step,0.8715019621204291,0.0007173877049285066,0.19663892468971453,0.0001817467719613855
200,0.282842712474619,0.38729833462074165,0.10954451150103321,Randomized step,0.9462311711264864,0.0004267937575460862,0.10323466132282942,0.0002734403577159014
200,0.282842712474619,0.48621887049186563,0.13752346418626477,Fixed step,0.8242845173482852,0.0009202782881201679,0.23549300571198964,0.0002808973217912628
200,0.282842712474619,0.48621887049186563,0.13752346418626477,Randomized step,0.9272392463831682,0.0005572269855066436,0.12623288214340428,0.0003393935101292834
200,0.282842712474619,0.6104048711024971,0.17264856945035045,Fixed step,0.7600645837010851,0.0011514321905997786,0.27502955139924995,0.0004320020503497976
200,0.282842712474619,0.6104048711024971,0.17264856945035045,Randomized step,0.8992555543254943,0.0007359562793405819,0.15229292178870443,0.0004180496914819444
200,0.282842712474619,0.766309432393553,0.2167450384530782,Fixed step,0.6788381062317771,0.0013834074354462996,0.3122456003294405,0.000651107265667612
200,0.282842712474619,0.766309432393553,0.2167450384530782,Randomized step,0.862120123213251,0.0009370201405753585,0.18112849969044237,0.0005184173193803348
200,0.282842712474619,0.962033846674077,0.27210426268568766,Fixed step,0.5783770033685939,0.00157716779736035,0.33834220750576294,0.0009358031964474267
200,0.282842712474619,0.962033846674077,0.27210426268568766,Randomized step,0.8139810958343665,0.0011577831631643428,0.21161338341693642,0.0006435221449642696
200,0.282842712474619,1.0,0.282842712474619,Fixed step,0.5588145922062979,0.001605312221022694,0.34045685392789,0.0009922714484269719
200,0.282842712474619,1.0,0.282842712474619,Randomized step,0.8043922028363146,0.001194495478325666,0.21583170119320785,0.0006677190999409286
200,0.282842712474619,1.2077485712993403,0.34160288189365123,Fixed step,0.4596426187982557,0.0016913537015523243,0.3430102783379695,0.001275200620291491
200,0.282842712474619,1.2077485712993403,0.34160288189365123,Randomized step,0.7543062402045685,0.001383697851543142,0.23836294310016912,0.0007983134598431725
200,0.282842712474619,1.5162217176853323,0.4288522633430454,Fixed step,0.3305262610772813,0.0016680148090076619,0.3159580320658768,0.001605923801647588
200,0.282842712474619,1.5162217176853323,0.4288522633430454,Randomized step,0.679389147370889,0.0016058645463584375,0.25645333740388904,0.0009869519271038184
200,0.282842712474619,1.9034825226142793,0.5383861598442531,Fixed step,0.20065185997914964,0.0014656743472099831,0.24698931641663316,0.0018159997357901794
200,0.282842712474619,1.9034825226142793,0.5383861598442531,Randomized step,0.5937171284729605,0.0017753712876545681,0.2627237843421313,0.0011796074195087804
200,0.282842712474619,2.0,0.565685424949238,Fixed step,0.1768292063576607,0.001407065226785591,0.22982995900612777,0.0018393789220931436
200,0.282842712474619,2.0,0.565685424949238,Randomized step,0.574806967249701,0.0018044712141473494,0.2613206811422772,0.0012182736270697399
200,0.282842712474619,2.389654277891017,0.6758962978352723,Fixed step,0.09870490330764084,0.0011146047414267168,0.15657852204392037,0.001776358411420674
200,0.282842712474619,2.389654277891017,0.6758962978352723,Randomized step,0.5062480146398622,0.0018827265208306296,0.2486832932772652,0.0013314795082313884
200,0.282842712474619,3.0,0.848528137423857,Fixed step,0.03164943338180604,0.0006601949794201331,0.06521249271620937,0.0013672655826781435
200,0.282842712474619,3.0,0.848528137423857,Randomized step,0.4151373573435959,0.001911693728562347,0.21844858388079139,0.001402256049871536
200,0.282842712474619,4.0,1.131370849898476,Fixed step,0.0028221094696619293,0.0002015836777030749,0.008151948000200958,0.0005864108548295893
200,0.282842712474619,4.0,1.131370849898476,Randomized step,0.3101480752086364,0.0018374350431208722,0.17083830198230043,0.0013666413644931915
200,0.282842712474619,5.0,1.414213562373095,Fixed step,9.489953312215292e-05,3.596833810852416e-05,0.0003362266312566105,0.00012705177205472312
200,0.282842712474619,5.0,1.414213562373095,Randomized step,0.2491311756973554,0.001742536836704356,0.13819777341987713,0.001277363085123825
200,0.282842712474619,5.518918645844859,1.560985919717511,Fixed step,5.378329495203692e-07,2.3108124015582143e-07,2.1256320105793315e-06,9.160154231665495e-07
200,0.282842712474619,5.518918645844859,1.560985919717511,Randomized step,0.2275200029126449,0.0016958656917003322,0.12548510402094593,0.0012187986132020563
200,0.282842712474619,7.6146157548635145,2.153738574557565,Fixed step,8.911969100587146e-21,7.02419216373729e-21,5.541242963889173e-20,4.344586510172576e-20
200,0.282842712474619,7.6146157548635145,2.153738574557565,Randomized step,0.16620172670432762,0.0015244595650950668,0.09092056738881514,0.0010753785579379273
200,0.282842712474619,10.0,2.82842712474619,Fixed step,7.486177591180578e-46,7.486174263123114e-46,5.28211239994815e-45,5.282109722592916e-45
200,0.282842712474619,10.0,2.82842712474619,Randomized step,0.12535146888512197,0.0013604980389064858,0.06922375744012874,0.0009575884092369827
200,0.282842712474619,10.506111217615066,2.9715769943502677,Fixed step,1.9803109612211544e-57,1.9799676974429082e-57,1.5950425150065105e-56,1.594764754693057e-56
200,0.282842712474619,10.506111217615066,2.9715769943502677,Randomized step,0.12046027376736779,0.0013398609916650318,0.06721515906124056,0.0009495281672184172
200,0.282842712474619,14.49559327355391,4.0999729204208295,Fixed step,4.263166891685662e-174,0.0,5.568533717923057e-173,0.0
200,0.282842712474619,14.49559327355391,4.0999729204208295,Randomized step,0.08766345292367154,0.0011695329973039983,0.04942760552125231,0.00083028050098335
200,0.282842712474619,20.0,5.65685424949238,Fixed step,0.0,0.0,0.0,0.0
200,0.282842712474619,20.0,5.65685424949238,Randomized step,0.06223291715934448,0.0010020314906237992,0.035083807510989024,0.0007147460238877135
200,0.282842712474619,20.000000000000004,5.6568542494923815,Fixed step,0.0,0.0,0.0,0.0
200,0.282842712474619,20.000000000000004,5.6568542494923815,Randomized step,0.06350052688159777,0.0010100424847817597,0.034540746994400524,0.0006851164487413658
200,0.282842712474619,27.594593229224305,7.804929598587559,Fixed step,0.0,0.0,0.0,0.0
200,0.282842712474619,27.594593229224305,7.804929598587559,Randomized step,0.04467291116368869,0.000853540811342517,0.025074093394757056,0.0006006628491827416
200,0.282842712474619,38.073078774317565,10.768692872787822,Fixed step,0.0,0.0,0.0,0.0
200,0.282842712474619,38.073078774317565,10.768692872787822,Randomized step,0.03360664713931957,0.0007485216579012137,0.01795249036665605,0.0004969035040189477
200,0.282842712474619,50.0,14.142135623730951,Fixed step,0.0,0.0,0.0,0.0
200,0.282842712474619,50.0,14.142135623730951,Randomized step,0.026363238561302463,0.0006693944845533574,0.014946416776265297,0.0004780776084473584
200,0.282842712474619,52.53055608807532,14.857884971751336,Fixed step,0.0,0.0,0.0,0.0
200,0.282842712474619,52.53055608807532,14.857884971751336,Randomized step,0.024276271486874595,0.000636808845738303,0.01348791498881932,0.000435273499016265
200,0.282842712474619,72.47796636776954,20.499864602104147,Fixed step,0.0,0.0,0.0,0.0
200,0.282842712474619,72.47796636776954,20.499864602104147,Randomized step,0.016916541149724674,0.0005387810834232544,0.009035889169257382,0.0003539580681712836
200,0.282842712474619,100.0,28.284271247461902,Fixed step,0.0,0.0,0.0,0.0
200,0.282842712474619,100.0,28.284271247461902,Randomized step,0.012748117416666545,0.0004697479919177279,0.006813948909865249,0.000312259332594424
